饰品名称,Buff当前价格,Buff当前在售数量
CZ75 | 维多利亚 (久经沙场),20.7,130
Tec-9 | 锈叶 (略有磨损),35.5,119
格洛克 18 型 | 子弹皇后 (久经沙场),64.9,1130
P250 | 生化短吻鳄 (略有磨损),23.8,1184
沙漠之鹰（StatTrak™） | 科林斯遗产 (略有磨损),12.1,319
格洛克 18 型（StatTrak™） | 摩登时代 (略有磨损),87.8,188
格洛克 18 型 | 核子花园 (崭新出厂),43.7,566
P2000 | 至尊威龙 (略有磨损),11.4,286
P2000 | 绝命密电 (久经沙场),23.6,149
沙漠之鹰 | 红色代号 (略有磨损),173,1305
P250（StatTrak™） | 赛博先锋 (略有磨损),12.7,69
格洛克 18 型（StatTrak™） | 蓝色裂纹 (久经沙场),12.9,435
格洛克 18 型（StatTrak™） | 烈焰天使 (崭新出厂),26.9,153
FN57（纪念品） | 热火朝天 (略有磨损),12.49,396
格洛克 18 型（StatTrak™） | 黑色魅影 (破损不堪),99.4,43
格洛克 18 型 | 黄铜 (崭新出厂),130.49,62
格洛克 18 型（StatTrak™） | 子弹皇后 (破损不堪),149.4,50
USP 消音版 | 寻路者 (崭新出厂),58.9,195
USP 消音版 | 寻路者 (崭新出厂),58.9,195
R8 左轮手枪 | 渐变之色 (略有磨损),30.3,477
沙漠之鹰 | 轻轨 (崭新出厂),15.9,736
USP 消音版 | 次时代 (略有磨损),10.2,1670
Tec-9 | 屠杀者 (略有磨损),51.7,167
沙漠之鹰（StatTrak™） | 后发制人 (破损不堪),32.5,39
CZ75 | 花纹钢板 (略有磨损),28.75,36
CZ75 | 花纹钢板 (崭新出厂),35.9,93
格洛克 18 型（StatTrak™） | 一目了然 (崭新出厂),39.89,91
P250（StatTrak™） | 赛博先锋 (崭新出厂),25.93,48
格洛克 18 型 | 水灵 (久经沙场),17.8,1514
沙漠之鹰（StatTrak™） | 后发制人 (略有磨损),89.6,176
FN57 | 童话城堡 (战痕累累),11.7,114
格洛克 18 型（StatTrak™） | 水灵 (久经沙场),53.8,402
Tec-9 | 剪纸 (崭新出厂),24.2,25
