饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
AWP（StatTrak™） | 珊瑚树 (久经沙场),$24.96 USD,23
双持贝瑞塔（纪念品） | 深蓝电镀处理 (崭新出厂),$3.50 USD,95
MAG-7（纪念品） | 沙丘之黄 (破损不堪),$0.20 USD,258
P250（纪念品） | 硝烟 (略有磨损),$4.72 USD,77
P90（StatTrak™） | 病毒危机 (久经沙场),$1.73 USD,98
P90（StatTrak™） | 病毒危机 (战痕累累),$2.31 USD,36
AK-47 | 美洲猛虎 (破损不堪),$21.12 USD,50
AUG | 孟加拉猛虎 (略有磨损),$9.96 USD,66
新星 | 樱花之绚烂 (略有磨损),$10.28 USD,36
AUG | 孟加拉猛虎 (破损不堪),$4.25 USD,23
P2000（StatTrak™） | 珊瑚树 (略有磨损),$13.15 USD,22
沙漠之鹰 | 深红之网 (崭新出厂),$107.50 USD,12
P2000（StatTrak™） | 珊瑚树 (久经沙场),$8.37 USD,18
AWP | 珊瑚树 (崭新出厂),$28.45 USD,41
AK-47 | 美洲猛虎 (崭新出厂),$148.30 USD,11
M4A4 | 弹雨 (崭新出厂),$55.25 USD,25
沙漠之鹰（StatTrak™） | 深红之网 (战痕累累),$12.37 USD,28
AUG（StatTrak™） | 孟加拉猛虎 (略有磨损),$35.27 USD,8
PP-野牛（StatTrak™） | 水蓝条纹 (破损不堪),$1.74 USD,23
PP-野牛 | 水蓝条纹 (崭新出厂),$6.09 USD,14
P90（StatTrak™） | 病毒危机 (略有磨损),$3.00 USD,39
格洛克 18 型（StatTrak™） | 钢铁禁锢 (久经沙场),$4.97 USD,26
P2000 | 珊瑚树 (崭新出厂),$12.92 USD,18
P90（StatTrak™） | 病毒危机 (破损不堪),$2.34 USD,20
新星 | 樱花之绚烂 (破损不堪),$4.66 USD,16
M4A4（StatTrak™） | 弹雨 (久经沙场),$34.42 USD,15
XM1014（StatTrak™） | 血红巨蟒 (破损不堪),$1.44 USD,35
FN57（纪念品） | 热火朝天 (久经沙场),$0.81 USD,195
FN57（纪念品） | 热火朝天 (略有磨损),$2.72 USD,170
格洛克 18 型（纪念品） | 核子反应 (战痕累累),$9.26 USD,39
MAC-10（纪念品） | 核子花园 (久经沙场),$5.98 USD,73
SG 553（纪念品） | 辐射警告 (略有磨损),$3.79 USD,177
PP-野牛（纪念品） | 化工之绿 (崭新出厂),$8.33 USD,27
P250（纪念品） | 核子污染 (略有磨损),$1.96 USD,193
PP-野牛（纪念品） | 化工之绿 (略有磨损),$1.99 USD,191
SG 553（纪念品） | 辐射警告 (战痕累累),$1.31 USD,108
AUG（纪念品） | 辐射危机 (战痕累累),$2.13 USD,55
格洛克 18 型（纪念品） | 核子反应 (破损不堪),$10.70 USD,40
Tec-9（纪念品） | 核子剧毒 (久经沙场),$6.17 USD,74
M4A4（纪念品） | 狂哮飓风 (破损不堪),$6.29 USD,63
P250（纪念品） | 硝烟 (战痕累累),$1.06 USD,109
AUG（纪念品） | 辐射危机 (略有磨损),$4.49 USD,138
加利尔 AR（纪念品） | 地狱看门犬 (战痕累累),$13.92 USD,16
内格夫（纪念品） | 核子废渣 (崭新出厂),$2.77 USD,152
新星（纪念品） | 胡桃木 (破损不堪),$0.75 USD,199
