饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
Tec-9 | 核子剧毒 (略有磨损),$3.14 USD,77
PP-野牛 | 化工之绿 (破损不堪),$0.51 USD,65
MAC-10 | 核子花园 (破损不堪),$3.10 USD,32
Tec-9 | 核子剧毒 (破损不堪),$2.07 USD,21
法玛斯 | 冥界之憎 (破损不堪),$2.99 USD,27
XM1014 | 碾骨机 (崭新出厂),$3.88 USD,66
Tec-9 | 核子剧毒 (战痕累累),$1.54 USD,50
内格夫 | 核子废渣 (破损不堪),$0.69 USD,32
XM1014 | 碾骨机 (久经沙场),$1.62 USD,68
MP9 | 落日 (略有磨损),$3.69 USD,44
加利尔 AR | 地狱看门犬 (破损不堪),$8.02 USD,33
法玛斯 | 冥界之憎 (略有磨损),$5.08 USD,68
法玛斯 | 冥界之憎 (战痕累累),$2.22 USD,27
FN57 | 热火朝天 (崭新出厂),$2.19 USD,71
PP-野牛 | 化工之绿 (崭新出厂),$1.92 USD,63
PP-野牛 | 化工之绿 (略有磨损),$0.80 USD,118
P250 | 核子污染 (略有磨损),$0.78 USD,99
P250 | 核子污染 (崭新出厂),$1.41 USD,65
SG 553 | 辐射警告 (战痕累累),$0.35 USD,120
内格夫 | 核子废渣 (久经沙场),$0.69 USD,83
双持贝瑞塔（纪念品） | 蔷薇 (略有磨损),$1.18 USD,200
AUG | 辐射危机 (破损不堪),$0.61 USD,81
加利尔 AR | 地狱看门犬 (战痕累累),$4.63 USD,39
SG 553 | 辐射警告 (略有磨损),$0.82 USD,118
加利尔 AR | 地狱看门犬 (久经沙场),$10.98 USD,72
MAC-10 | 核子花园 (久经沙场),$3.28 USD,53
PP-野牛 | 水蓝条纹 (战痕累累),$0.87 USD,51
沙漠之鹰 | 深红之网 (破损不堪),$6.58 USD,62
MAC-10（StatTrak™） | 致命紫罗兰 (破损不堪),$1.12 USD,56
格洛克 18 型（StatTrak™） | 钢铁禁锢 (崭新出厂),$6.02 USD,94
新星（StatTrak™） | 樱花之绚烂 (久经沙场),$11.44 USD,14
P2000 | 珊瑚树 (久经沙场),$4.17 USD,28
PP-野牛 | 水蓝条纹 (久经沙场),$1.01 USD,117
XM1014（StatTrak™） | 血红巨蟒 (略有磨损),$2.88 USD,44
内格夫（StatTrak™） | *哒哒哒* (略有磨损),$3.56 USD,78
SSG 08 | 黑水 (久经沙场),$0.89 USD,127
MAC-10 | 致命紫罗兰 (破损不堪),$0.86 USD,97
CZ75（StatTrak™） | 蓝巢 (崭新出厂),$9.15 USD,51
内格夫 | *哒哒哒* (破损不堪),$1.12 USD,160
MP7 | 海之泡沫 (略有磨损),$3.33 USD,19
XM1014 | 血红巨蟒 (破损不堪),$1.05 USD,43
MP7（StatTrak™） | 海之泡沫 (崭新出厂),$6.64 USD,77
AWP | 珊瑚树 (久经沙场),$10.05 USD,139
内格夫（StatTrak™） | *哒哒哒* (破损不堪),$1.33 USD,101
CZ75 | 蓝巢 (破损不堪),$2.04 USD,25
PP-野牛 | 水蓝条纹 (破损不堪),$0.85 USD,51
P90 | 病毒危机 (崭新出厂),$4.77 USD,29
AUG | 孟加拉猛虎 (战痕累累),$3.96 USD,20
沙漠之鹰 | 深红之网 (战痕累累),$4.67 USD,62
CZ75（StatTrak™） | 蓝巢 (久经沙场),$1.38 USD,178
格洛克 18 型（StatTrak™） | 钢铁禁锢 (略有磨损),$3.97 USD,93
P90 | 病毒危机 (战痕累累),$1.35 USD,66
AUG | 孟加拉猛虎 (崭新出厂),$50.27 USD,9
蝴蝶刀（★） | 人工染色 (崭新出厂),$739.98 USD,5
M4A4 | 弹雨 (战痕累累),$43.93 USD,2
蝴蝶刀（★ StatTrak™） | 都市伪装 (战痕累累),$771.32 USD,1
印花 | Natus Vincere | 2014年科隆锦标赛,$14.39 USD,110
2014年 ESL One 科隆锦标赛传奇,$71.21 USD,216
印花 | Cloud9 | 2014年科隆锦标赛,$9.24 USD,128
印花 | Team LDLC.com | 2014年科隆锦标赛,$16.13 USD,153
印花 | dAT team | 2014年科隆锦标赛,$4.99 USD,105
印花 | MTS GameGod Wolf | 2014年科隆锦标赛,$4.95 USD,93
印花 | Titan（全息）| 2014年科隆锦标赛,$195.55 USD,23
印花 | 2014年 ESL One 科隆锦标赛（红色）,$48.72 USD,46
印花 | HellRaisers | 2014年卡托维兹锦标赛,$551.00 USD,5
P90 | 病毒危机 (破损不堪),$1.44 USD,61
AWP（StatTrak™） | 珊瑚树 (略有磨损),$32.11 USD,33
MAC-10（StatTrak™） | 致命紫罗兰 (战痕累累),$1.00 USD,68
