饰品名称,Buff当前价格,Buff当前在售数量
AUG（StatTrak™） | 贵族 (略有磨损),14.58,148
AK-47 | 黑色层压板 (久经沙场),86.7,473
G3SG1 | 弗卢克斯 (战痕累累),21.9,26
M4A4（StatTrak™） | 齿仙 (战痕累累),44.6,52
SSG 08 | 巨铁 (略有磨损),37.28,125
M4A1 消音型 | 梦魇 (崭新出厂),90.7,294
M4A4 | 龙王 (战痕累累),36.9,65
SSG 08（StatTrak™） | 黑水 (略有磨损),12.38,202
AUG | 随机存取 (崭新出厂),16.95,141
AK-47（StatTrak™） | 霓虹革命 (久经沙场),177.35,249
法玛斯（StatTrak™） | 元素轮廓 (战痕累累),14.8,21
SG 553（StatTrak™） | 电子脉冲 (久经沙场),12.27,733
M4A1 消音型 | 原子合金 (略有磨损),114.5,365
M4A4（StatTrak™） | 黑色魅影 (破损不堪),106.4,59
SSG 08（StatTrak™） | 主机001 (崭新出厂),14.79,132
SSG 08（纪念品） | 手刹 (久经沙场),28.69,139
SSG 08（纪念品） | 迂回路线 (久经沙场),27.4,253
AK-47 | 丛林涂装 (久经沙场),20.79,427
SG 553（StatTrak™） | 四号栖息地 (久经沙场),52.7,153
M4A4 | 沙漠精英 (破损不堪),33.94,25
SSG 08 | 巨铁 (久经沙场),25.4,109
AK-47 | 红线 (战痕累累),39.9,245
AWP（StatTrak™） | 亡灵之主 (崭新出厂),95.9,247
AUG（StatTrak™） | 动量 (久经沙场),22.9,272
M4A4（StatTrak™） | 镁元素 (崭新出厂),34.38,565
M4A4 | 狮鹫 (崭新出厂),35.39,253
AK-47（StatTrak™） | 卡特尔 (略有磨损),129,349
AWP | 精英之作 (崭新出厂),92.8,317
AK-47 | 狩猎网格 (崭新出厂),18.84,331
M4A4（StatTrak™） | 活色生香 (战痕累累),199.49,20
法玛斯（StatTrak™） | 元素轮廓 (略有磨损),30.9,130
法玛斯（StatTrak™） | 灯神 (破损不堪),13.52,38
SSG 08（StatTrak™） | 浮生如梦 (略有磨损),16.78,228
G3SG1（StatTrak™） | 行刑者 (战痕累累),13.69,30
M4A1 消音型（StatTrak™） | 翼蜥 (崭新出厂),84.8,105
M4A1 消音型 | 原子合金 (破损不堪),61.58,31
SCAR-20 | 暴风呼啸 (战痕累累),10.74,28
SG 553 | 次时代 (崭新出厂),68.55,274
SCAR-20 | 次时代 (崭新出厂),149.5,100
SG 553 | 意式拉力 (战痕累累),77.9,239
SG 553（StatTrak™） | 浪花喷漆 (战痕累累),23.84,13
AK-47（StatTrak™） | 精英之作 (崭新出厂),102.48,609
SG 553（StatTrak™） | 致命紫罗兰 (略有磨损),53.56,180
AK-47（StatTrak™） | 精英之作 (崭新出厂),102.48,609
SG 553（StatTrak™） | 致命紫罗兰 (略有磨损),53.56,180
AK-47（StatTrak™） | 迷踪秘境 (战痕累累),10.91,139
SG 553（StatTrak™） | 致命紫罗兰 (战痕累累),59.17,33
法玛斯（StatTrak™） | 厄运之喵 (久经沙场),12.61,35
M4A4 | 渐变斑纹 (略有磨损),10.89,120
法玛斯（StatTrak™） | 死亡之舞 (略有磨损),17.39,18
M4A4 | 丛林虎 (战痕累累),20.77,16
M4A4 | 战场之星 (崭新出厂),62.3,302
M4A1 消音型（StatTrak™） | 原子合金 (战痕累累),79.18,24
M4A4（StatTrak™） | 渐变斑纹 (破损不堪),27.1,60
M4A1 消音型 | 女火神之炽焰 (战痕累累),38.4,109
M4A4（StatTrak™） | 赛博 (破损不堪),36,94
法玛斯（StatTrak™） | 死亡之舞 (久经沙场),13.89,18
AWP（StatTrak™） | 珊瑚树 (久经沙场),114.38,39
M4A4（纪念品） | 变频器 (久经沙场),31.09,232
加利尔 AR（StatTrak™） | 喧闹骷髅 (战痕累累),72.77,55
AUG | 力矩 (崭新出厂),21.9,270
M4A4 | 齿仙 (战痕累累),18.74,224
G3SG1（纪念品） | 极地迷彩 (略有磨损),9.92,209
加利尔 AR（StatTrak™） | 蓝钛 (崭新出厂),19.6,253
M4A1 消音型 | 简报 (崭新出厂),23.59,99
M4A4（StatTrak™） | 杀意大名 (破损不堪),45.8,16
M4A1 消音型（StatTrak™） | 翼蜥 (破损不堪),52.6,17
SG 553 | 旅行者皮革 (崭新出厂),45.6,39
M4A4（纪念品） | 主机 (久经沙场),15.79,321
M4A4 | 喧嚣杀戮 (战痕累累),37.9,153
AUG | 代达罗斯之殇 (崭新出厂),10.89,109
M4A1 消音型（StatTrak™） | 翼蜥 (略有磨损),43.31,122
SCAR-20（StatTrak™） | 权力之心 (崭新出厂),13.42,68
AUG（StatTrak™） | 极地孤狼 (久经沙场),20.7,218
AK-47 | 安全网 (略有磨损),41.46,271
M4A1 消音型（StatTrak™） | 梦魇 (战痕累累),41.56,34
法玛斯（StatTrak™） | 防滚架 (略有磨损),80.5,109
加利尔 AR | 橙黄 DDPAT (久经沙场),42.68,11
AK-47 | 深海复仇 (破损不堪),96.69,150
AUG（StatTrak™） | 湖怪鸟 (略有磨损),30.4,185
SSG 08（纪念品） | 热带风暴 (久经沙场),11.19,455
AUG（纪念品） | 辐射危机 (略有磨损),19,517
M4A1 消音型（StatTrak™） | 血虎 (崭新出厂),43.3,182
法玛斯 | 灯神 (略有磨损),13.19,188
AWP（StatTrak™） | 精英之作 (略有磨损),162.38,116
AUG（StatTrak™） | 湖怪鸟 (久经沙场),14.1,246
SSG 08 | 鬼脸天蛾 (略有磨损),24.78,69
M4A1 消音型（StatTrak™） | 梦魇 (略有磨损),131,129
M4A1 消音型 | 破碎铅秋 (破损不堪),14.69,44
AUG（StatTrak™） | 变色龙 (崭新出厂),119.5,89
G3SG1 | 弗卢克斯 (破损不堪),21.06,37
AK-47（StatTrak™） | 卡特尔 (崭新出厂),206.99,270
M4A4（纪念品） | 都市 DDPAT (略有磨损),57.6,205
AUG（StatTrak™） | 席德.米德 (破损不堪),23.07,18
法玛斯 | 雅典娜之眼 (战痕累累),12.5,32
M4A1 消音型 | 破碎铅秋 (战痕累累),11.6,123
AK-47 | 黑色层压板 (略有磨损),103.99,544
M4A4（StatTrak™） | 杀意大名 (久经沙场),29.19,353
法玛斯 | 对比涂装 (略有磨损),14.6,14
M4A1 消音型 | 闪回 (崭新出厂),10.99,241
M4A1 消音型（StatTrak™） | 原子合金 (破损不堪),107.05,14
法玛斯（StatTrak™） | 元素轮廓 (破损不堪),29.78,6
M4A1 消音型（StatTrak™） | 简报 (战痕累累),24.47,14
M4A1 消音型（StatTrak™） | 简报 (战痕累累),24.47,14
AK-47 | 丛林涂装 (破损不堪),22.91,53
AK-47（纪念品） | 狩猎网格 (略有磨损),79.46,253
M4A1 消音型 | 翼蜥 (破损不堪),14.6,20
G3SG1 | 极寒迷彩 (久经沙场),15,23
AK-47 | 深海复仇 (战痕累累),84.9,112
M4A4 | 活色生香 (战痕累累),84.7,69
M4A4（StatTrak™） | 渐变斑纹 (略有磨损),26.1,132
M4A4 | 狮鹫 (战痕累累),13.9,56
加利尔 AR（StatTrak™） | 信号灯 (崭新出厂),14.39,194
法玛斯 | 中士 (略有磨损),16.36,72
G3SG1（StatTrak™） | 碧蓝斑纹 (崭新出厂),19.54,49
AK-47 | 复古浪潮 (破损不堪),17.7,302
AK-47 | 卡特尔 (战痕累累),29.38,141
SSG 08（StatTrak™） | 巨铁 (久经沙场),78.9,46
SSG 08（StatTrak™） | 幽灵战士 (略有磨损),18.9,189
M4A4 | 星级 (略有磨损),112,175
加利尔 AR | 喧闹骷髅 (久经沙场),198.5,53
M4A1 消音型（StatTrak™） | 破碎铅秋 (崭新出厂),114.5,68
AUG（StatTrak™） | 席德.米德 (崭新出厂),113,120
AWP | 黑色魅影 (破损不堪),129.3,56
M4A1 消音型 | 翼蜥 (崭新出厂),16.8,213
M4A1 消音型（StatTrak™） | 血虎 (久经沙场),32.7,41
M4A4 | 沙漠精英 (崭新出厂),39.7,450
SCAR-20 | 溅射果酱 (久经沙场),28.74,53
AK-47 | 捕食者 (崭新出厂),178.5,17
G3SG1 | 弗卢克斯 (略有磨损),39.55,65
SG 553（纪念品） | 浪花穿孔 (久经沙场),20.7,49
AUG | 汪之萌杀 (破损不堪),16.29,19
AK-47 | 安全网 (破损不堪),29.09,24
SG 553（StatTrak™） | 浪花喷漆 (略有磨损),38.53,53
AWP（StatTrak™） | 猫猫狗狗 (战痕累累),38.01,43
M4A4（StatTrak™） | 死寂空间 (略有磨损),169.5,257
SCAR-20 | 心脏打击 (久经沙场),12.5,117
M4A1 消音型（StatTrak™） | 次时代 (战痕累累),157.83,4
法玛斯（StatTrak™） | 神经网 (略有磨损),11.99,69
法玛斯 | 冥界之憎 (略有磨损),20.8,129
加利尔 AR | 都市瓦砾 (略有磨损),12.08,16
G3SG1 | 远古仪式 (崭新出厂),11.45,100
AK-47 | 复古浪潮 (崭新出厂),41.7,337
G3SG1 | 远古仪式 (崭新出厂),11.45,100
AK-47 | 复古浪潮 (崭新出厂),41.7,337
G3SG1（StatTrak™） | 丰饶女神 (久经沙场),27.67,30
SSG 08 | 热带风暴 (略有磨损),18.19,34
G3SG1（纪念品） | 丛林虚线 (久经沙场),16.27,33
SCAR-20（StatTrak™） | 深红之网 (略有磨损),19.59,43
SSG 08 | 喋血战士 (破损不堪),22.89,22
AUG（纪念品） | 雇佣兵 (久经沙场),32.8,37
AWP（StatTrak™） | 火卫一 (破损不堪),35.79,10
G3SG1（StatTrak™） | 丰饶女神 (略有磨损),38.3,24
AUG（纪念品） | 暴风呼啸 (略有磨损),64.69,15
法玛斯（StatTrak™） | 神经网 (崭新出厂),25.7,63
加利尔 AR | 冷石 (崭新出厂),25.75,244
G3SG1 | 穆拉诺之紫 (略有磨损),128.5,45
AUG（StatTrak™） | 力矩 (久经沙场),38.4,42
M4A1 消音型 | 暴怒野兽 (战痕累累),33.2,135
M4A4（StatTrak™） | 齿仙 (崭新出厂),152.1,190
法玛斯（StatTrak™） | 雅典娜之眼 (崭新出厂),185.5,35
加利尔 AR | 废墟黄昏 (崭新出厂),69.29,263
SCAR-20（StatTrak™） | 执行者 (崭新出厂),28.48,70
法玛斯 | 幕后主谋 (略有磨损),139,127
SG 553（纪念品） | 辐射警告 (略有磨损),15.6,770
法玛斯（StatTrak™） | 雅典娜之眼 (战痕累累),33.08,25
加利尔 AR | 冬之森林 (略有磨损),47.95,19
加利尔 AR | 迷人眼 (战痕累累),14.79,85
加利尔 AR（纪念品） | 冰核聚变 (略有磨损),24.59,157
M4A1 消音型 | 金蛇缠绕 (战痕累累),42.25,78
法玛斯 | 电子脉冲 (久经沙场),19.8,63
M4A4（StatTrak™） | 死寂空间 (破损不堪),79.8,59
SCAR-20（StatTrak™） | 深红之网 (战痕累累),10.98,17
M4A1 消音型（StatTrak™） | 暴怒野兽 (战痕累累),94.4,23
AUG（StatTrak™） | 孟加拉猛虎 (久经沙场),42.9,44
SG 553（StatTrak™） | 四号栖息地 (战痕累累),34.95,16
M4A1 消音型（StatTrak™） | 破碎铅秋 (略有磨损),48.4,153
AUG（StatTrak™） | 孟加拉猛虎 (略有磨损),145.4,28
AK-47（StatTrak™） | 蓝色层压板 (久经沙场),90.9,733
AK-47（StatTrak™） | 轨道 Mk01 (略有磨损),148.48,119
AWP（纪念品） | 粉红 DDPAT (久经沙场),199.5,317
M4A4 | 星级 (久经沙场),103.5,81
SG 553（StatTrak™） | 黯翼 (崭新出厂),53.44,128
SG 553（StatTrak™） | 黯翼 (崭新出厂),53.44,128
M4A1 消音型（StatTrak™） | 毁灭者 2000 (崭新出厂),173,103
AK-47 | 美洲猛虎 (略有磨损),190.5,228
AWP（StatTrak™） | 浮生如梦 (略有磨损),85.9,248
加利尔 AR | ~甜甜的~ (崭新出厂),179.5,227
法玛斯（StatTrak™） | 雅典娜之眼 (略有磨损),70.99,55
SCAR-20（StatTrak™） | 心脏打击 (久经沙场),42.4,28
加利尔 AR（StatTrak™） | 冷石 (崭新出厂),87.3,114
AK-47（StatTrak™） | 前线迷雾 (久经沙场),150.9,244
SSG 08（StatTrak™） | 巨铁 (略有磨损),156.5,18
M4A1 消音型（StatTrak™） | 女火神之炽焰 (战痕累累),108.05,21
M4A4 | 地狱烈焰 (久经沙场),128.99,57
加利尔 AR（StatTrak™） | 迷人眼 (略有磨损),116.5,32
M4A1 消音型（StatTrak™） | 闪回 (破损不堪),11.66,56
AK-47（StatTrak™） | 前线迷雾 (战痕累累),127.48,28
SSG 08 | 巨铁 (崭新出厂),71.8,81
SG 553（StatTrak™） | 豹灯蛾 (久经沙场),12.49,157
SSG 08 | 迂回路线 (崭新出厂),45.59,141
AUG（StatTrak™） | 极地孤狼 (略有磨损),48.9,168
SSG 08（纪念品） | 蓝色云杉 (略有磨损),69.68,19
SSG 08 | 迂回路线 (崭新出厂),45.59,141
AUG（StatTrak™） | 极地孤狼 (略有磨损),48.9,168
SSG 08（纪念品） | 蓝色云杉 (略有磨损),69.68,19
AUG（StatTrak™） | 鹰翼 (略有磨损),58.72,40
M4A1 消音型 | 血虎 (崭新出厂),11.87,464
AK-47（StatTrak™） | 幻影破坏者 (略有磨损),114.5,281
M4A4（StatTrak™） | 齿仙 (破损不堪),49.9,22
M4A1 消音型 | 控制台 (久经沙场),25.58,176
M4A1 消音型（StatTrak™） | 破碎铅秋 (破损不堪),48.69,14
SSG 08 | 侦测 (略有磨损),25,219
M4A4（StatTrak™） | 战场之星 (略有磨损),143.4,67
SCAR-20 | 大宪章 (战痕累累),24.7,31
AK-47 | 霓虹骑士 (战痕累累),102.5,65
M4A1 消音型（StatTrak™） | 毁灭者 2000 (略有磨损),84.19,155
M4A4 | 沙漠风暴 (略有磨损),58.9,87
SCAR-20 | 大宪章 (崭新出厂),26.9,287
AK-47 | 阿努比斯军团 (破损不堪),84.49,49
SSG 08（StatTrak™） | 无尽深海 (崭新出厂),38.7,485
AWP | 黑色魅影 (战痕累累),111,74
AK-47（StatTrak™） | 混沌点阵 (战痕累累),122,16
加利尔 AR（StatTrak™） | 冷石 (略有磨损),28.8,167
SCAR-20 | 石砌 (崭新出厂),14.57,49
SCAR-20 | 暴风呼啸 (崭新出厂),35.79,18
法玛斯 | 纪念碑 (破损不堪),47.8,31
M4A4 | 沙漠风暴 (久经沙场),55.4,43
M4A1 消音型 | 二号玩家 (破损不堪),73.68,33
M4A1 消音型 | 神来之作 (破损不堪),114.47,38
AK-47（StatTrak™） | 卡特尔 (战痕累累),107.06,69
法玛斯（StatTrak™） | 电子脉冲 (崭新出厂),59.9,161
法玛斯（StatTrak™） | 元素轮廓 (久经沙场),16.42,137
M4A1 消音型 | 控制台 (破损不堪),21.47,51
AK-47 | 霓虹革命 (破损不堪),98.3,46
SG 553 | 四号栖息地 (崭新出厂),108.5,296
AK-47 | 轨道 Mk01 (崭新出厂),68.9,671
AK-47（StatTrak™） | 蓝色层压板 (崭新出厂),134.4,613
加利尔 AR | 地狱看门犬 (略有磨损),110.5,175
SG 553（StatTrak™） | 黯翼 (略有磨损),14.9,263
SSG 08（StatTrak™） | 幽灵战士 (崭新出厂),55.9,116
法玛斯（StatTrak™） | 灯神 (崭新出厂),119.5,26
G3SG1 | 日式橙色涂装 (崭新出厂),11.79,88
SCAR-20 | 心脏打击 (崭新出厂),59.79,49
M4A1 消音型（StatTrak™） | 闪回 (战痕累累),12.57,72
G3SG1 | 远古仪式 (略有磨损),10.3,105
M4A4（StatTrak™） | 渐变斑纹 (崭新出厂),207.38,18
M4A1 消音型（StatTrak™） | 暴怒野兽 (久经沙场),137.3,77
SG 553（StatTrak™） | 豹灯蛾 (略有磨损),31.56,150
AUG（StatTrak™） | 汪之萌杀 (崭新出厂),129.5,83
M4A4 | 丛林虎 (略有磨损),24.08,133
M4A1 消音型（StatTrak™） | 守护者 (久经沙场),174.4,97
法玛斯（StatTrak™） | 残影 (久经沙场),79.79,37
SCAR-20（StatTrak™） | 血腥运动 (破损不堪),19.9,19
SG 553（纪念品） | 鳄鱼网格 (崭新出厂),21.9,202
AUG（纪念品） | 辐射危机 (战痕累累),11.42,47
法玛斯（StatTrak™） | 死亡之舞 (崭新出厂),19.65,50
AUG | 深蓝电镀处理 (崭新出厂),68.78,114
SG 553（纪念品） | 鳄鱼网格 (破损不堪),11.8,24
SSG 08（纪念品） | 蓝色云杉 (久经沙场),29.9,40
AK-47 | 安全网 (战痕累累),30.32,30
M4A4 | 星级 (崭新出厂),177.49,36
AUG（StatTrak™） | 动量 (战痕累累),14.77,57
SSG 08 | 巨铁 (破损不堪),27.26,31
AK-47 | 轨道 Mk01 (战痕累累),52.78,31
M4A4（StatTrak™） | 喧嚣杀戮 (战痕累累),108.4,41
AUG（StatTrak™） | 力矩 (战痕累累),43.42,1
SSG 08 | 玛雅之梦 (战痕累累),15.2,4
M4A4 | 狂哮飓风 (破损不堪),15.1,8
G3SG1 | 丰饶女神 (破损不堪),24.11,7
加利尔 AR | 冬之森林 (战痕累累),16.33,4
法玛斯 | 喷焰者 (战痕累累),19.31,7
SCAR-20 | 溅射果酱 (战痕累累),25.9,7
SSG 08（StatTrak™） | 炎龙之焰 (略有磨损),206,105
AK-47 | 丛林涂装 (战痕累累),16.5,57
M4A1 消音型 | 苔藓石英 (破损不堪),59.6,15
M4A4（纪念品） | 主机 (略有磨损),22.21,237
法玛斯 | 蓝巢 (崭新出厂),12.59,59
AWP（纪念品） | 冥界之河 (久经沙场),132.38,206
G3SG1（StatTrak™） | 毒刺 (崭新出厂),13.3,90
M4A1 消音型（StatTrak™） | 破碎铅秋 (战痕累累),28.8,49
AWP（StatTrak™） | 树蝰 (破损不堪),22.78,170
SSG 08 | 迂回路线 (久经沙场),24.5,20
AUG | 变色龙 (破损不堪),27.13,25
M4A1 消音型（StatTrak™） | 机械工业 (战痕累累),98.87,28
AWP（StatTrak™） | 火卫一 (久经沙场),15.7,190
M4A1 消音型 | 控制台 (战痕累累),21.47,88
SSG 08 | 侦测 (破损不堪),26.9,12
M4A4（StatTrak™） | 狮鹫 (略有磨损),50.05,138
M4A1 消音型 | 金蛇缠绕 (破损不堪),55.45,72
法玛斯（纪念品） | 冥界之憎 (久经沙场),54,202
M4A4（StatTrak™） | 赛博 (战痕累累),34.73,98
法玛斯（StatTrak™） | 电子脉冲 (久经沙场),33.75,59
AUG（StatTrak™） | 变色龙 (久经沙场),45.98,53
SG 553 | 次时代 (破损不堪),13.1,69
SCAR-20 | 大宪章 (久经沙场),25.45,107
M4A1 消音型 | 苔藓石英 (崭新出厂),56.9,192
M4A4 | 皇家圣骑士 (战痕累累),38.86,88
SCAR-20 | 大宪章 (破损不堪),25.45,23
法玛斯 | 幕后主谋 (战痕累累),133.5,17
M4A1 消音型 | 毁灭者 2000 (战痕累累),20.53,124
G3SG1 | 雇佣兵 (破损不堪),9.9,10
AK-47（StatTrak™） | 前线迷雾 (破损不堪),150.95,35
M4A1 消音型 | 毁灭者 2000 (战痕累累),20.53,124
G3SG1 | 雇佣兵 (破损不堪),9.9,10
AK-47（StatTrak™） | 前线迷雾 (破损不堪),150.95,35
SCAR-20 | 次时代 (略有磨损),116.5,43
AK-47 | 红线 (破损不堪),71,134
SG 553 | 四号栖息地 (战痕累累),17.39,46
SSG 08 | 侦测 (战痕累累),25.45,32
法玛斯（StatTrak™） | 退役 (崭新出厂),11.89,63
法玛斯（StatTrak™） | 蓝巢 (久经沙场),12.66,52
M4A4 | 弹雨 (破损不堪),78.78,25
SSG 08 | 沙丘之黄 (略有磨损),12.79,24
AUG（StatTrak™） | 动量 (略有磨损),84.8,148
G3SG1 | 丰饶女神 (战痕累累),23.79,6
AK-47 | 前线迷雾 (破损不堪),66.4,69
AUG（StatTrak™） | 燕群 (战痕累累),14.5,41
AWP（StatTrak™） | 蠕虫之神 (破损不堪),22.38,41
G3SG1（StatTrak™） | 弗卢克斯 (略有磨损),124.78,19
M4A1 消音型（StatTrak™） | 原子合金 (久经沙场),116,58
SSG 08 | 炎龙之焰 (破损不堪),45.7,28
SG 553（StatTrak™） | 四号栖息地 (略有磨损),138.5,137
AUG（StatTrak™） | 极地孤狼 (崭新出厂),107,93
M4A1 消音型（StatTrak™） | 守护者 (略有磨损),197.08,113
AK-47（StatTrak™） | 幻影破坏者 (战痕累累),76.3,41
M4A4（纪念品） | 都市 DDPAT (久经沙场),21.9,502
SSG 08（StatTrak™） | 鬼脸天蛾 (崭新出厂),84.8,35
SCAR-20（StatTrak™） | 血腥运动 (崭新出厂),80.18,115
SG 553（StatTrak™） | 次时代 (久经沙场),45.2,151
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),19.79,89
AUG（StatTrak™） | 湖怪鸟 (战痕累累),13.3,41
AK-47（StatTrak™） | 复古浪潮 (略有磨损),65.9,173
G3SG1（StatTrak™） | 行刑者 (破损不堪),13.68,25
AK-47 | 美洲猛虎 (战痕累累),91.8,49
法玛斯 | 黑水 (略有磨损),66.6,221
AWP | 狮子之日 (破损不堪),36.98,31
法玛斯（StatTrak™） | 机械工业 (崭新出厂),86.4,177
AUG（StatTrak™） | 燕群 (崭新出厂),178.9,89
AWP | 浮生如梦 (破损不堪),39.89,16
M4A1 消音型（纪念品） | 多变迷彩 (略有磨损),67.9,109
SG 553 | 威吓者 (久经沙场),115,62
M4A4 | 狂哮飓风 (崭新出厂),179.5,16
SG 553（StatTrak™） | 豹灯蛾 (崭新出厂),66.13,106
SG 553 | 鳄鱼网格 (略有磨损),18.8,4
M4A1 消音型 | 苔藓石英 (战痕累累),65.59,21
SG 553（StatTrak™） | 致命紫罗兰 (久经沙场),54.9,147
SG 553（StatTrak™） | 四号栖息地 (破损不堪),47.9,39
M4A4 | 喧嚣杀戮 (破损不堪),44.9,46
AK-47（StatTrak™） | 阿努比斯军团 (战痕累累),131,44
M4A4（纪念品） | 变频器 (崭新出厂),97.9,245
M4A1 消音型（StatTrak™） | 简报 (略有磨损),38.7,49
加利尔 AR | 废墟黄昏 (久经沙场),66.9,68
SSG 08 | 喋血战士 (战痕累累),20.39,24
AK-47（StatTrak™） | 复古浪潮 (崭新出厂),123.5,80
G3SG1（StatTrak™） | 公海 (崭新出厂),27.8,71
法玛斯（StatTrak™） | 纪念碑 (略有磨损),198.24,61
法玛斯 | 日暮 (破损不堪),199.5,4
G3SG1 | 丰饶女神 (略有磨损),24.8,18
M4A1 消音型（StatTrak™） | 简报 (久经沙场),22.89,49
AK-47（纪念品） | 黑色层压板 (战痕累累),106.97,114
SCAR-20（StatTrak™） | 血腥运动 (略有磨损),36.73,102
AWP（StatTrak™） | 浮生如梦 (久经沙场),59.89,216
SG 553 | 红苹果 (破损不堪),21.33,44
SG 553 | 浪花喷漆 (略有磨损),21.7,33
AWP | 狮子之日 (战痕累累),39.9,62
AWP | 粉红 DDPAT (破损不堪),106.95,36
M4A1 消音型 | 毁灭者 2000 (破损不堪),26.99,57
M4A4（StatTrak™） | 黑色魅影 (战痕累累),72.78,130
法玛斯 | 雅典娜之眼 (破损不堪),15.35,27
SSG 08 | 巨铁 (战痕累累),32.55,17
SSG 08（StatTrak™） | 鬼脸天蛾 (略有磨损),65.8,12
AUG（StatTrak™） | 汪之萌杀 (久经沙场),42.55,32
法玛斯（StatTrak™） | 厄运之喵 (略有磨损),12.37,162
SCAR-20（纪念品） | 碳素纤维 (略有磨损),10.7,31
SCAR-20（纪念品） | 沙漠网格 (崭新出厂),22.9,21
M4A4（纪念品） | 辐射危机 (战痕累累),116.3,105
AK-47 | 至高皮革 (战痕累累),164.46,16
AUG（StatTrak™） | 动量 (破损不堪),18.11,55
M4A4（纪念品） | 狂哮飓风 (战痕累累),23.77,245
SSG 08（纪念品） | 热带风暴 (略有磨损),21.9,166
AK-47 | 幻影破坏者 (破损不堪),40,79
AUG（StatTrak™） | 力矩 (崭新出厂),53.48,70
M4A1 消音型（StatTrak™） | 二号玩家 (战痕累累),113.49,37
M4A1 消音型（纪念品） | 多变迷彩 (久经沙场),42.9,145
SSG 08（StatTrak™） | 通灵者 (崭新出厂),28.9,49
M4A4（StatTrak™） | 渐变斑纹 (战痕累累),38.37,141
SCAR-20 | 心脏打击 (战痕累累),12.9,18
M4A4 | 地狱烈焰 (破损不堪),106,7
SSG 08 | 血染风采 (崭新出厂),13.8,70
法玛斯（纪念品） | 殖民侵略者 (久经沙场),25.5,42
法玛斯（StatTrak™） | 防滚架 (战痕累累),29.17,45
M4A4（StatTrak™） | 狮鹫 (战痕累累),31.89,37
法玛斯 | 纪念碑 (战痕累累),48.77,42
SG 553（纪念品） | 鳄鱼网格 (略有磨损),10.2,250
SG 553（纪念品） | 大马士革钢 (破损不堪),18.98,75
AUG（纪念品） | 殖民侵略者 (崭新出厂),54.68,33
加利尔 AR | 都市瓦砾 (崭新出厂),31.8,14
SG 553 | 次时代 (战痕累累),12.12,75
SG 553（StatTrak™） | 次时代 (破损不堪),36.04,25
加利尔 AR（纪念品） | 地狱看门犬 (破损不堪),98.2,60
M4A4 | 现代猎手 (久经沙场),90.9,52
AUG | 鹰翼 (略有磨损),58.16,32
AUG | 璞玉 (久经沙场),68.78,27
法玛斯（纪念品） | 冥界之憎 (略有磨损),125.5,130
加利尔 AR（StatTrak™） | 沙尘暴 (略有磨损),17.2,128
AK-47（StatTrak™） | 红线 (破损不堪),169.47,56
M4A1 消音型（StatTrak™） | 梦魇 (破损不堪),42.6,29
M4A4 | 杀意大名 (战痕累累),17.5,37
AUG（StatTrak™） | 汪之萌杀 (略有磨损),69.9,62
AUG（StatTrak™） | 力矩 (略有磨损),48.88,67
SSG 08 | 鬼脸天蛾 (破损不堪),20.58,5
AK-47 | 黑色层压板 (破损不堪),106,44
SCAR-20（StatTrak™） | 心脏打击 (略有磨损),84.89,41
M4A4 | 全球攻势 (战痕累累),22.9,32
SCAR-20 | 暴风呼啸 (破损不堪),9.9,7
SSG 08 | 喋血战士 (略有磨损),168.5,35
AK-47 | 卡特尔 (破损不堪),39.79,33
M4A4 | 暗之绽放 (战痕累累),34.8,19
AK-47 | 红色层压板 (战痕累累),110.99,92
SSG 08（纪念品） | 手刹 (略有磨损),57.7,97
SG 553（StatTrak™） | 重金属摇滚 (崭新出厂),18.09,51
法玛斯（StatTrak™） | 灯神 (略有磨损),39.8,56
M4A4（StatTrak™） | 沙漠精英 (略有磨损),105.5,56
SG 553（StatTrak™） | 电子脉冲 (破损不堪),19.1,26
AK-47 | 红色层压板 (破损不堪),114.48,66
SG 553 | 红苹果 (战痕累累),18.25,45
M4A1 消音型（StatTrak™） | 血虎 (略有磨损),33.9,169
M4A4（StatTrak™） | 死寂空间 (战痕累累),70.24,69
加利尔 AR（StatTrak™） | 橙黄 DDPAT (略有磨损),98.79,44
加利尔 AR（StatTrak™） | 喧闹骷髅 (破损不堪),153.88,38
M4A1 消音型（StatTrak™） | 暴怒野兽 (破损不堪),96.37,43
AUG | 变色龙 (战痕累累),20.6,21
SSG 08（StatTrak™） | 浮生如梦 (破损不堪),15.4,22
SCAR-20 | 翡翠色调 (崭新出厂),75.8,94
AK-47（StatTrak™） | 复古浪潮 (破损不堪),47.7,66
AUG（StatTrak™） | 燕群 (破损不堪),16.3,29
AUG | 动量 (崭新出厂),95.59,122
M4A4 | 地狱烈焰 (战痕累累),107.5,12
G3SG1（StatTrak™） | 丰饶女神 (破损不堪),29.9,4
SCAR-20（StatTrak™） | 深红之网 (久经沙场),13.46,61
SSG 08（StatTrak™） | 鬼脸天蛾 (久经沙场),53.66,30
SG 553 | 致命紫罗兰 (崭新出厂),151.5,50
M4A4（StatTrak™） | 皇家圣骑士 (战痕累累),133.49,24
SCAR-20 | 溅射果酱 (略有磨损),160.32,35
法玛斯（StatTrak™） | 蓝巢 (崭新出厂),23.9,69
AK-47（StatTrak™） | 复古浪潮 (战痕累累),46.6,99
M4A4 | 沙漠风暴 (战痕累累),52.8,13
