饰品名称,Buff当前价格,Buff当前在售数量
新星（StatTrak™） | 兴风作浪 (略有磨损),34.5,81
新星 | 天秤之月 (略有磨损),9.97,33
XM1014 | 碾骨机 (略有磨损),13.08,54
XM1014 | 宁静 (崭新出厂),65,225
XM1014（StatTrak™） | 焚烬之鳄 (破损不堪),21.43,15
MAG-7（StatTrak™） | 正义 (崭新出厂),180.5,81
新星（StatTrak™） | 樱花之绚烂 (久经沙场),56.57,35
截短霰弹枪（StatTrak™） | 荒野公主 (略有磨损),37.9,68
XM1014（StatTrak™） | 宁静 (久经沙场),52.5,41
XM1014（StatTrak™） | 埋葬之影 (崭新出厂),140.99,130
截短霰弹枪 | 吞噬 (略有磨损),26.9,192
XM1014 | 蔚蓝多变迷彩 (崭新出厂),39.9,17
XM1014 | 芭蕉叶 (战痕累累),43.96,27
截短霰弹枪 | 外表生锈 (崭新出厂),87.8,40
新星 | 兴风作浪 (崭新出厂),60.92,19
新星 | 外表生锈 (崭新出厂),13.5,249
XM1014（StatTrak™） | 五彩斑驳 (崭新出厂),14.32,107
MAG-7（StatTrak™） | 硬水 (久经沙场),13.4,14
XM1014 | 焚烬之鳄 (略有磨损),44.9,63
XM1014 | 要抱抱 (崭新出厂),68.1,127
MAG-7 | 威吓者 (战痕累累),12.13,18
XM1014（纪念品） | 碾骨机 (战痕累累),17.8,37
MAG-7 | 记忆碎片 (略有磨损),13.17,11
新星 | 绿苹果 (略有磨损),55.7,69
XM1014（StatTrak™） | 要抱抱 (破损不堪),36.9,30
MAG-7（StatTrak™） | 硬水 (略有磨损),16.89,27
MAG-7 | 记忆碎片 (崭新出厂),19.44,28
XM1014 | 都市穿孔 (破损不堪),8.38,2
新星（StatTrak™） | 兴风作浪 (久经沙场),31.65,7
XM1014 | 宁静 (破损不堪),21.28,8
新星 | 惊惧骷髅 (久经沙场),18.76,25
MAG-7 | 危机色调 (略有磨损),39.69,29
MAG-7 | 灼烧之痕 (崭新出厂),14.27,30
MAG-7（纪念品） | 金属 DDPAT (略有磨损),17.57,30
MAG-7 | 威吓者 (久经沙场),11.6,171
新星（StatTrak™） | 古董枪 (崭新出厂),102.79,54
MAG-7（StatTrak™） | 禁卫军 (久经沙场),16.7,24
新星（StatTrak™） | 玩具士兵 (崭新出厂),32,30
XM1014（StatTrak™） | 西装革履 (崭新出厂),32.3,157
新星 | 樱花之绚烂 (战痕累累),23.9,7
新星（纪念品） | 绿苹果 (崭新出厂),18.78,145
截短霰弹枪（StatTrak™） | 荒野公主 (崭新出厂),85.39,57
MAG-7（StatTrak™） | 硬水 (崭新出厂),21.78,60
截短霰弹枪 | 路霸 (崭新出厂),12.31,18
新星（StatTrak™） | 古董枪 (略有磨损),73.24,37
新星（StatTrak™） | 古董枪 (久经沙场),59.9,6
新星 | 暴怒野兽 (破损不堪),28.9,9
XM1014（StatTrak™） | 要抱抱 (略有磨损),104.5,49
新星 | 绿苹果 (崭新出厂),64.73,174
XM1014（纪念品） | 碾骨机 (崭新出厂),110.5,114
新星（StatTrak™） | 兴风作浪 (崭新出厂),149.5,17
MAG-7（StatTrak™） | 记忆碎片 (崭新出厂),29.89,67
新星（纪念品） | 胡桃木 (崭新出厂),60.82,22
新星 | 暴怒野兽 (崭新出厂),80.5,129
新星（StatTrak™） | 暴怒野兽 (略有磨损),149,27
新星（StatTrak™） | 惊惧骷髅 (略有磨损),40.01,27
XM1014（纪念品） | 碾骨机 (略有磨损),50.8,177
MAG-7（纪念品） | 威吓者 (略有磨损),114.47,87
截短霰弹枪（StatTrak™） | 祥和之翼 (崭新出厂),27.63,52
新星（StatTrak™） | 樱花之绚烂 (略有磨损),127.3,25
MAG-7（StatTrak™） | 记忆碎片 (略有磨损),18.01,41
XM1014（StatTrak™） | 宁静 (略有磨损),116,41
XM1014（StatTrak™） | 焚烬之鳄 (战痕累累),14.68,25
